name,url,category,sub_category,price,price_per_unit,price_unit,quantity,weight_per_unit,weight_unit,energy_kj,energy_kcal,fat (g),of which saturates (g),carbohydrate (g),of which sugars (g),fibre (g),protein (g),salt (g),fatlow (g),of which saturateslow (g),of which sugarsmedium (g),saltlow (g),of which sugarshigh (g),saltmedium (g),of which sugarslow (g),salthigh (g),of which mono-unsaturates (g),fathigh (g),of which saturatesmedium (g),fatmedium (g),of which saturateshigh (g),sodium (g),energy value in kj (g),energy value in kcal (g),vitamin b1 (thiamin) (g),vitamin b2 (riboflavin) (g),niacin (g),vitamin b6 (g),folic acid / folate (g),iron (g),magnesium (g),of which polyvalents alcohols (g),phosphorus (g),mangan (g),vitamin b12 (g),vitamin d (g),pantothenic acid (g),calcium (g),folic acid (g),vitamin e (g),vitamin k (g),vitamin c (g),biotin (g),omega-3 fatty acids (g),potassium (g),zinc (g),alpha linolenic acid (omega-3 fatty acids) (g),water (g),omega-6 fatty acids (g),iodine (g),fluoride (g),of which starch (g),vitamin a (g),cholesterin (g),selen (g),caffeine (g),copper (g),silicon (g),bicarbonate (or hydrogen carbonate) (g),nitrate (g),sulfate (g),chloride (g),sulphate 4+ (g),minerals (g),vegetable sterine (g),chrome (g),molybdenum (g),lactose (g)
Lemon,https://www.migros.ch/en/product/263500513200,fruits-vegetables,fruits,,,,,,,101.0,24.0,0.6,0.1,3.0,3.0,2.0,0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sélection · Mango,https://www.migros.ch/en/product/264617813200,fruits-vegetables,fruits,5.95,5.95,piece,1.0,,piece,258.0,61.0,0.5,0.1,13.0,13.0,1.5,0.6,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · kiwi · green,https://www.migros.ch/en/product/264480102300,fruits-vegetables,fruits,3.75,0.75,100g,1.0,500.0,g,229.0,54.0,0.6,0.0,10.0,10.0,2.5,1.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · Mango,https://www.migros.ch/en/product/264680113200,fruits-vegetables,fruits,3.75,3.75,piece,1.0,,piece,258.0,61.0,0.5,0.1,13.0,13.0,1.5,0.6,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extra · grapes · Muscat, seedless",https://www.migros.ch/en/product/265301002500,fruits-vegetables,fruits,3.8,0.76,100g,1.0,500.0,g,293.0,69.0,0.5,0.1,15.0,15.0,1.5,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · Ginger · Organic,https://www.migros.ch/en/product/264683102100,fruits-vegetables,fruits,,,,,,,352.0,83.0,0.8,0.2,16.0,1.5,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · grapes · seedless,https://www.migros.ch/en/product/265383002300,fruits-vegetables,fruits,,,,,,,293.0,69.0,0.5,0.1,15.0,15.0,1.5,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pears · Williams,https://www.migros.ch/en/product/260505302100,fruits-vegetables,fruits,,,,,,,246.0,58.0,0.5,0.0,12.0,10.0,3.0,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · lime,https://www.migros.ch/en/product/264681002300,fruits-vegetables,fruits,2.5,1.0,100g,1.0,250.0,g,76.0,18.0,0.5,0.0,1.9,1.9,3.0,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grapefruit · Red,https://www.migros.ch/en/product/263600513200,fruits-vegetables,fruits,1.0,1.0,piece,1.0,,piece,126.0,30.0,0.5,0.0,5.9,5.9,1.3,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · Apples · SweeTango,https://www.migros.ch/en/product/260282304100,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red heart plum,https://www.migros.ch/en/product/262400601000,fruits-vegetables,fruits,5.5,0.55,100g,1.0,1000.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra · Avocado · Hass,https://www.migros.ch/en/product/264500713200,fruits-vegetables,fruits,2.8,2.8,piece,1.0,,piece,643.0,156.0,14.0,2.0,1.8,0.7,7.0,1.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · Lemon,https://www.migros.ch/en/product/263580408600,fruits-vegetables,fruits,2.8,0.37,100g,1.0,750.0,g,101.0,24.0,0.6,0.1,3.0,3.0,2.0,0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresca · Apples · Gala,https://www.migros.ch/en/product/260215704100,fruits-vegetables,fruits,,,,,,,232.0,55.0,0.5,0.1,12.0,12.0,2.1,0.5,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra · Peanuts,https://www.migros.ch/en/product/266070109300,fruits-vegetables,fruits,4.8,0.96,100g,1.0,500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresca · Datteln,https://www.migros.ch/en/product/264601302600,fruits-vegetables,fruits,4.95,1.65,100g,1.0,300.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · grapes · Mix seedless,https://www.migros.ch/en/product/265384102300,fruits-vegetables,fruits,3.75,0.75,100g,1.0,500.0,g,293.0,69.0,0.5,0.1,15.0,15.0,1.5,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresca · Passion fruit,https://www.migros.ch/en/product/264623502300,fruits-vegetables,fruits,2.95,1.48,100g,1.0,200.0,g,341.0,82.0,0.5,0.1,12.0,11.0,11.0,2.2,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresca · figs · Fresh,https://www.migros.ch/en/product/264800702300,fruits-vegetables,fruits,,,,,,,276.0,65.0,0.5,0.0,13.0,13.0,2.0,1.3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresca · Mango,https://www.migros.ch/en/product/264618409200,fruits-vegetables,fruits,,,,,,,258.0,61.0,0.5,0.1,13.0,13.0,1.5,0.6,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresca · clementines,https://www.migros.ch/en/product/263405508500,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemongrass,https://www.migros.ch/en/product/264631502200,fruits-vegetables,fruits,2.2,4.4,100g,1.0,50.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · Plums,https://www.migros.ch/en/product/262480202300,fruits-vegetables,fruits,3.3,0.66,100g,1.0,500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra · blueberries,https://www.migros.ch/en/product/265606902400,fruits-vegetables,fruits,6.95,2.78,100g,1.0,250.0,g,174.0,42.0,0.6,0.0,6.0,6.0,5.0,0.6,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figs · Freshness,https://www.migros.ch/en/product/264800702500,fruits-vegetables,fruits,,,,,,,276.0,65.0,0.5,0.0,13.0,13.0,2.0,1.3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Budget · oranges · Blond,https://www.migros.ch/en/product/263300902300,fruits-vegetables,fruits,4.5,0.15,100g,1.0,3000.0,g,185.0,44.0,0.5,0.0,8.6,8.6,1.8,1.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresca · Cherimoya,https://www.migros.ch/en/product/264600313200,fruits-vegetables,fruits,3.2,3.2,piece,1.0,,piece,264.0,62.0,0.5,0.0,13.0,13.0,0.0,1.5,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · Noix,https://www.migros.ch/en/product/266080309300,fruits-vegetables,fruits,4.7,0.94,100g,1.0,500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demeter · Grapes,https://www.migros.ch/en/product/265301702300,fruits-vegetables,fruits,4.5,0.9,100g,1.0,500.0,g,293.0,69.0,0.5,0.1,15.0,15.0,1.5,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresca · Mirabelle,https://www.migros.ch/en/product/262402702300,fruits-vegetables,fruits,,,,,,,242.0,57.0,0.5,0.0,12.0,12.0,2.3,0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresca · Plums · Mix,https://www.migros.ch/en/product/262401302400,fruits-vegetables,fruits,2.7,0.54,100g,1.0,500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresca · Plums · Red,https://www.migros.ch/en/product/262400901000,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cranberries,https://www.migros.ch/en/product/265602909200,fruits-vegetables,fruits,,,,,,,245.0,58.0,0.5,0.1,12.0,4.3,3.6,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nectarines · White,https://www.migros.ch/en/product/261701301000,fruits-vegetables,fruits,,,,,,,193.0,46.0,0.5,0.0,9.0,8.0,1.5,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · turmeric,https://www.migros.ch/en/product/264685102300,fruits-vegetables,fruits,2.2,2.2,100g,1.0,100.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresca · mandarins,https://www.migros.ch/en/product/263402508500,fruits-vegetables,fruits,4.9,0.25,100g,1.0,2000.0,g,201.0,47.0,0.5,0.0,10.0,10.0,1.4,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sélection · Melon · Charentais,https://www.migros.ch/en/product/264700613200,fruits-vegetables,fruits,4.3,4.3,piece,1.0,,piece,159.0,38.0,0.5,0.0,8.0,8.0,0.9,0.7,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papaya,https://www.migros.ch/en/product/264622513200,fruits-vegetables,fruits,2.8,2.8,piece,1.0,,piece,185.0,44.0,0.5,0.1,9.0,8.0,1.5,0.5,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresca · Blackberries,https://www.migros.ch/en/product/265600502300,fruits-vegetables,fruits,5.6,2.24,100g,1.0,250.0,g,185.0,44.0,0.5,0.0,6.2,6.2,6.0,1.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz · Apples,https://www.migros.ch/en/product/260238504100,fruits-vegetables,fruits,,,,,,,232.0,55.0,0.5,0.1,12.0,12.0,2.1,0.5,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra · Kiwi · Red,https://www.migros.ch/en/product/264400802200,fruits-vegetables,fruits,2.9,1.21,100g,1.0,240.0,g,229.0,54.0,0.6,0.0,10.0,10.0,2.5,1.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresca · blueberries,https://www.migros.ch/en/product/265606702400,fruits-vegetables,fruits,,,,,,,174.0,42.0,0.6,0.0,6.0,6.0,5.0,0.6,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · Prunes,https://www.migros.ch/en/product/262580502300,fruits-vegetables,fruits,4.2,0.84,100g,1.0,500.0,g,200.0,47.0,0.5,0.0,10.0,8.8,1.5,0.6,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · grapes · rosé seedless - organic,https://www.migros.ch/en/product/265383002400,fruits-vegetables,fruits,,,,,,,293.0,69.0,0.5,0.1,15.0,15.0,1.5,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresca · Oriental persimmon · Persimmon,https://www.migros.ch/en/product/264802102400,fruits-vegetables,fruits,,,,,,,299.0,71.0,0.5,0.0,15.0,15.0,2.5,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Budget · kiwi · green,https://www.migros.ch/en/product/264400702500,fruits-vegetables,fruits,3.7,0.37,100g,1.0,1000.0,g,229.0,54.0,0.6,0.0,10.0,10.0,2.5,1.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomegranate,https://www.migros.ch/en/product/264605513200,fruits-vegetables,fruits,1.25,1.25,piece,1.0,,piece,326.0,77.0,0.6,0.0,16.0,16.0,2.2,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz Migros Bio · Apples,https://www.migros.ch/en/product/260288704100,fruits-vegetables,fruits,,,,,,,232.0,55.0,0.5,0.1,12.0,12.0,2.1,0.5,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · Flat nectarines,https://www.migros.ch/en/product/261780202500,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raspberries,https://www.migros.ch/en/product/265608702300,fruits-vegetables,fruits,,,,,,,215.0,52.0,0.6,0.0,7.0,7.0,6.7,1.2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra · raspberries,https://www.migros.ch/en/product/265608802300,fruits-vegetables,fruits,,,,,,,215.0,52.0,0.6,0.0,7.0,7.0,6.7,1.2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · Blackberries · Organic,https://www.migros.ch/en/product/265680302400,fruits-vegetables,fruits,6.5,2.6,100g,1.0,250.0,g,185.0,44.0,0.5,0.0,6.2,6.2,6.0,1.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strawberries,https://www.migros.ch/en/product/265200502400,fruits-vegetables,fruits,5.8,1.16,100g,1.0,500.0,g,167.0,40.0,0.5,0.0,7.0,7.0,2.2,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed berries,https://www.migros.ch/en/product/265614602300,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sélection · strawberries · Migros Sélection,https://www.migros.ch/en/product/265200702400,fruits-vegetables,fruits,,,,,,,167.0,40.0,0.5,0.0,7.0,7.0,2.2,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · strawberries · Bio,https://www.migros.ch/en/product/265280302600,fruits-vegetables,fruits,6.7,1.68,100g,1.0,400.0,g,167.0,40.0,0.5,0.0,7.0,7.0,2.2,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · Raspberries · Organic,https://www.migros.ch/en/product/265680502400,fruits-vegetables,fruits,5.9,2.36,100g,1.0,250.0,g,215.0,52.0,0.6,0.0,7.0,7.0,6.7,1.2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aus der Region Aroniabeeren,https://www.migros.ch/en/product/105266700000,fruits-vegetables,fruits,7.3,7.3,100g,1.0,100.0,g,1480.0,349.0,1.2,,82.0,,,2.8,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currants,https://www.migros.ch/en/product/265611102400,fruits-vegetables,fruits,,,,,,,139.0,33.0,0.5,0.0,5.0,5.0,3.5,1.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erdbeeren,https://www.migros.ch/en/product/265200202300,fruits-vegetables,fruits,5.8,1.16,100g,1.0,500.0,g,167.0,40.0,0.5,0.0,7.0,7.0,2.2,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio Beeren gemischt,https://www.migros.ch/en/product/265681702300,fruits-vegetables,fruits,6.9,2.3,100g,1.0,300.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beeren gemischt,https://www.migros.ch/en/product/265614602500,fruits-vegetables,fruits,5.3,2.12,100g,1.0,250.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Erdbeeren,https://www.migros.ch/en/product/265200402400,fruits-vegetables,fruits,4.8,1.92,100g,1.0,250.0,g,167.0,40.0,0.5,0.0,7.0,7.0,2.2,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sélection Erdbeeren Mara de bois 250g,https://www.migros.ch/en/product/265200602400,fruits-vegetables,fruits,5.95,2.38,100g,1.0,250.0,g,167.0,40.0,0.5,0.0,7.0,7.0,2.2,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heidelbeeren,https://www.migros.ch/en/product/265606702800,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heidelbeeren,https://www.migros.ch/en/product/265606702600,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erdbeeren Herz,https://www.migros.ch/en/product/265201102500,fruits-vegetables,fruits,,,,,,,167.0,40.0,0.5,0.0,7.0,7.0,2.2,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erdbeeren,https://www.migros.ch/en/product/265200502600,fruits-vegetables,fruits,,,,,,,167.0,40.0,0.5,0.0,7.0,7.0,2.2,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio Heidelbeeren lose,https://www.migros.ch/en/product/265680801000,fruits-vegetables,fruits,1.85,1.85,100g,1.0,100.0,g,174.0,42.0,0.6,0.0,6.0,6.0,5.0,0.6,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erdbeeren,https://www.migros.ch/en/product/265200502300,fruits-vegetables,fruits,,,,,,,167.0,40.0,0.5,0.0,7.0,7.0,2.2,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio Erdbeeren,https://www.migros.ch/en/product/265280302300,fruits-vegetables,fruits,,,,,,,167.0,40.0,0.5,0.0,7.0,7.0,2.2,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio Himbeeren,https://www.migros.ch/en/product/265680502500,fruits-vegetables,fruits,,,,,,,215.0,52.0,0.6,0.0,7.0,7.0,6.7,1.2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beeren gemischt,https://www.migros.ch/en/product/265614602800,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio Erdbeeren,https://www.migros.ch/en/product/265280302500,fruits-vegetables,fruits,,,,,,,167.0,40.0,0.5,0.0,7.0,7.0,2.2,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio Heidelbeeren,https://www.migros.ch/en/product/265680802500,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
